"","x"
"71","https://www.gov.br/capes/pt-br/assuntos/noticias/residuos-de-madeira-geram-energia-sustentavel-na-amazonia"
"72","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-autoriza-graduacao-para-detentos-no-rn"
"73","https://www.gov.br/capes/pt-br/assuntos/noticias/prorrogado-prazo-para-cadastro-no-coleta"
"74","https://www.gov.br/capes/pt-br/assuntos/noticias/esmalte-ceramico-pode-ser-obtido-por-vidro-de-tvs-antigas"
"75","https://www.gov.br/capes/pt-br/assuntos/noticias/governo-lanca-guia-do-novo-prefeito-brasil"
"76","https://www.gov.br/capes/pt-br/assuntos/noticias/pesquisador-brasileiro-desenvolve-iogurte-em-po"
"77","https://www.gov.br/capes/pt-br/assuntos/noticias/fisico-usa-grafeno-para-construir-sensores-e-biossensores"
"78","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-inicia-comemoracoes-dos-seus-70-anos"
"79","https://www.gov.br/capes/pt-br/acesso-a-informacao/informacoes-classificadas"
"80","https://www.gov.br/capes/pt-br/assuntos/noticias/nova-tecnica-aumenta-teor-de-omega-3-em-hamburgueres"
"81","https://www.gov.br/capes/pt-br/assuntos/noticias/concessao-de-bolsas-institucionais-para-2021-consolida-regras"
"82","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-lanca-guia-para-aceleracao-da-internacionalizacao"
"83","https://www.gov.br/capes/pt-br/assuntos/noticias/oeste-do-para-busca-desenvolvimento-pela-pos-graduacao"
"84","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/educacao-a-distancia"
"85","https://www.gov.br/capes/pt-br/assuntos/noticias/historiadora-identifica-texto-inedito-de-machado-de-assis"
"86","https://www.gov.br/capes/pt-br/assuntos/noticias/aluno-do-impa-ganha-premio-capes-de-tese-em-matematica"
"87","https://www.gov.br/capes/pt-br/assuntos/noticias/coleta-apresenta-novos-campos-para-dados-de-programas"
"88","https://www.gov.br/capes/pt-br/assuntos/premios/premio-capes-de-tese-1/teses-premiadas"
"89","https://www.gov.br/capes/pt-br/assuntos/noticias/reconhecidos-266-novos-cursos-de-mestrado-e-doutorado-no-brasil"
"90","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/italia-1/italia-programas-ativos"
"91","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/avaliacao-o-que-e/sobre-a-avaliacao-conceitos-processos-e-normas/mestrado-e-doutorado-o-que-sao"
"92","https://www.gov.br/capes/pt-br/assuntos/eventos/encontro-academico-internacional"
"93","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/holanda/holanda-programas-ativos"
"94","https://www.gov.br/capes/pt-br/acesso-a-informacao/auditorias/cursos-indicados"
"95","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/programas-estrategicos/desenvolvimento-regional/programa-de-desenvolvimento-da-pos-graduacao-pdpg-na-amazonia-legal"
"96","https://www.gov.br/capes/pt-br/assuntos/noticias/financiamento-estudantil-passara-a-atender-a-alunos-de-cursos-de-mestrado-e-doutorado"
"97","https://www.gov.br/capes/pt-br/assuntos/noticias/quase-50-mil-usuarios-fizeram-treinamentos-do-portal-de-periodicos"
"98","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/franca/brafagri"
"99","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-humanidades/ciencias-sociais-aplicadas/administracao-publica-e-de-empresas-ciencias-contabeis-e-turismo"
"100","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-manteve-atividades-durante-a-pandemia"
"101","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-oferece-bolsas-de-estudo-para-estrangeiros"
"102","https://www.gov.br/capes/pt-br/assuntos/noticias/ufam-desafia-distancias-para-levar-saude-aos-amazonenses"
"103","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-autoriza-encontros-virtuais-com-recursos-do-paep"
"104","https://www.gov.br/capes/pt-br/assuntos/noticias/bioesponja-descontamina-oceanos-e-rios"
"105","https://www.gov.br/capes/pt-br/assuntos/noticias/video-homenageia-professores-do-brasil"
"106","https://www.gov.br/capes/pt-br/assuntos/noticias/curso-de-praticas-de-producao-de-texto-inicia-aulas-virtuais"
"107","https://www.gov.br/capes/pt-br/assuntos/noticias/bolsista-da-capes-desenvolve-cimento-sustentavel"
"108","https://www.gov.br/capes/pt-br/assuntos/noticias/estudo-brasileiro-e-publicado-em-jornal-de-repercussao-mundial"
"109","https://www.gov.br/capes/pt-br/assuntos/noticias/blank-50967295"
"110","https://www.gov.br/capes/pt-br/assuntos/noticias/mulheres-sao-maioria-no-programa-de-combate-a-covid-19"
"111","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-exatas-tecnologicas-e-multidisciplinar/ciencias-exatas-e-da-terra/quimica"
"112","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/programas-estrategicos"
"113","https://www.gov.br/capes/pt-br/assuntos/noticias/cronograma-define-prazos-de-avaliacao-da-pos-graduacao"
"114","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-oferece-1-400-vagas-para-doutorado-sanduiche-no-exterior"
"115","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-da-vida/ciencias-da-saude/farmacia"
"116","https://www.gov.br/capes/pt-br/assuntos/noticias/qualidade-dos-programas-e-prioridade-na-ficha-de-avaliacao"
"117","https://www.gov.br/capes/pt-br/assuntos/noticias/blank-97777914"
"118","https://www.gov.br/capes/pt-br/assuntos/noticias/estudo-analisa-lagrimas-de-animais-silvestres"
"119","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/educacao-basica/programas-encerrados"
"120","https://www.gov.br/capes/pt-br/assuntos/noticias/normas-revogadas"
"121","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/avaliacao-quadrienal/objetivos"
"122","https://www.gov.br/capes/pt-br/assuntos/noticias/tocantins-pretende-abrir-novos-programas-de-doutorado"
"123","https://www.gov.br/capes/pt-br/acesso-a-informacao/auditorias/documentos-legislacao-auditorias"
"124","https://www.gov.br/capes/pt-br/acesso-a-informacao/institucional/conselho-tecnico-cientifico-da-educacao-superior-1/reunioes"
"125","https://www.gov.br/capes/pt-br/assuntos/noticias/agroflorestas-potencializam-agricultura-familiar-no-pampa"
"126","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-destaca-cooperacao-internacional-com-a-alemanha"
"127","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/portugal/fct"
"128","https://www.gov.br/capes/pt-br/assuntos/noticias/instituto-paraense-investiga-doencas-virais-e-mercurio-no-ar"
"129","https://www.gov.br/capes/pt-br/assuntos/noticias/biomedica-desenvolve-sensores-para-detectar-doencas"
"130","https://www.gov.br/capes/pt-br/composicao-1"
"131","https://www.gov.br/capes/pt-br/assuntos/noticias/uema-mobiliza-pesquisadores-para-estudar-amazonia-maranhense"
"132","https://www.gov.br/capes/pt-br/centrais-de-conteudo/12062019-proposta-de-classificacao-de-livros-gt-qualislivro-pdf/view"
"133","https://www.gov.br/capes/pt-br/acesso-a-informacao/institucional/estrutura"
"134","https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais"
"135","https://www.gov.br/capes/pt-br/assuntos/premios/premio-capes-de-tese-1/premio-capes-de-tese-documentos-relacionados"
"136","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/espanha/espanha-programas-ativos"
"137","https://www.gov.br/capes/pt-br/acesso-a-informacao/dados-abertos"
"138","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/programas-estrategicos/outras-informacoes/programas-encerrados-estrategicos"
"139","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-participa-do-forum-da-amazonia-legal"
"140","https://www.gov.br/capes/pt-br/assuntos/noticias/mascara-feita-de-fibra-de-crustaceos-inativa-virus-da-covid-19"
"141","https://www.gov.br/capes/pt-br/assuntos/noticias/divulgado-calendario-para-a-avaliacao-no-proximo-ano"
"142","https://www.gov.br/capes/pt-br/assuntos/noticias/gestores-e-alunos-comemoram-sucesso-do-curso-abc"
"143","https://www.gov.br/capes/pt-br/acesso-a-informacao/agenda-de-autoridades/diretor-a-de-tecnologia-da-informacao-dti/2021-04-14"
"144","https://www.gov.br/capes/pt-br/assuntos/eventos/eventos-avaliacao"
"145","https://www.gov.br/capes/pt-br/assuntos/noticias/ufma-cria-plano-para-aumentar-notas-de-programas"
"146","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/programas-estrategicos/formacao-de-recursos-humanos-em-areas-estrategicas/familia-e-politicas-publicas-no-brasil"
"147","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/programas-estrategicos/desenvolvimento-regional"
"148","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-aprova-dois-novos-cursos-de-pos-graduacao-interinstitucionais"
"149","https://www.gov.br/capes/pt-br/acesso-a-informacao/licitacoes-e-contratos/chamadas-publicas"
"150","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-divulga-plano-de-dados-abertos"
